Plot	Sample	SampDate	tinwght	mstsoil1011g	tinsoilOD24h	Gravmois	Imputed	Gravmois_percentage
9	4	2017-07-05 00:00:00.000	1.01	6.45	6.15	5.84	0	0.058365759
9	4	2017-07-12 00:00:00.000	1.02	6.26	5.67	12.69	0	0.12688172
9	4	2017-07-18 00:00:00.000	1	7.72	7.19	8.56	0	0.085621971
9	4	2017-08-08 00:00:00.000	1	7.35	6.55	14.41	0	0.144144144
9	5	2017-07-05 00:00:00.000	1	5.95	5.17	18.71	0	0.18705036
9	5	2017-07-12 00:00:00.000	1.02	6.18	5.22	22.86	0	0.228571429
9	5	2017-07-18 00:00:00.000	1.03	6.14	5.76	8.03	0	0.080338266
9	5	2017-08-08 00:00:00.000	1.02	7.29	6.42	16.11	0	0.161111111
10	1	2017-07-05 00:00:00.000	1	6.15	5.9	5.1	0	0.051020408
10	1	2017-07-14 00:00:00.000	1.01	6.37	6.02	6.99	0	0.069860279
10	1	2017-07-20 00:00:00.000	1	6.25	5.91	6.92	0	0.069246436
10	1	2017-08-10 00:00:00.000	1	7.28	6.14	22.18	0	0.221789883
10	2	2017-07-05 00:00:00.000	1	6.15	5.79	7.52	0	0.075156576
10	2	2017-07-14 00:00:00.000	1.01	6.18	5.85	6.82	0	0.068181818
10	2	2017-07-20 00:00:00.000	1.01	6.2	5.72	10.19	0	0.101910828
10	2	2017-08-10 00:00:00.000	1.01	6.04	5.13	22.09	0	0.220873786
10	3	2017-07-05 00:00:00.000	1	6.06	5.8	5.42	0	0.054166667
10	3	2017-07-14 00:00:00.000	1.02	6.91	6.48	7.88	0	0.078754579
10	3	2017-07-20 00:00:00.000	1.01	6.39	6	7.82	0	0.078156313
10	3	2017-08-10 00:00:00.000	1.01	7.16	6.06	21.78	0	0.217821782
10	4	2017-07-05 00:00:00.000	1.01	6.13	5.86	5.57	0	0.055670103
10	4	2017-07-14 00:00:00.000	1.03	6.5	6.11	7.68	0	0.076771654
10	4	2017-07-20 00:00:00.000	1	6.24	5.7	11.49	0	0.114893617
10	4	2017-08-10 00:00:00.000	1.02	6.51	5.61	19.61	0	0.196078431
10	5	2017-07-05 00:00:00.000	1	6.13	5.83	6.21	0	0.062111801
10	5	2017-07-14 00:00:00.000	0.99	5.95	5.45	11.21	0	0.112107623
10	5	2017-07-20 00:00:00.000	1.03	6.17	5.71	9.83	0	0.098290598
10	5	2017-08-10 00:00:00.000	1	6.47	5.4	24.32	0	0.243181818
11	1	2017-07-05 00:00:00.000	1.02	6.02	5.75	5.71	0	0.057082452
11	1	2017-07-14 00:00:00.000	1	6.35	5.97	7.65	0	0.076458753
11	1	2017-07-20 00:00:00.000	1	6.47	6.05	8.32	0	0.083168317
11	1	2017-08-10 00:00:00.000	1	6.36	5.52	18.58	0	0.185840708
11	2	2017-07-05 00:00:00.000	1.02	6.47	6.2	5.21	0	0.052123552
11	2	2017-07-14 00:00:00.000	1	6.33	6.03	5.96	0	0.059642147
11	2	2017-07-20 00:00:00.000	1.01	6.22	5.87	7.2	0	0.072016461
11	2	2017-08-10 00:00:00.000	1.06	6.39	5.73	14.13	0	0.141327623
11	3	2017-07-05 00:00:00.000	1	6.28	5.99	5.81	0	0.058116232
11	3	2017-07-14 00:00:00.000	1	6.98	6.63	6.22	0	0.062166963
11	3	2017-07-20 00:00:00.000	1.01	6.23	5.74	10.36	0	0.10359408
11	3	2017-08-10 00:00:00.000	1.06	6.06	5.33	17.1	0	0.170960187
11	4	2017-07-05 00:00:00.000	1	6.29	5.96	6.65	0	0.066532258
11	4	2017-07-14 00:00:00.000	1.01	6.19	5.88	6.37	0	0.063655031
11	4	2017-07-20 00:00:00.000	1.02	6.36	5.9	9.43	0	0.094262295
11	4	2017-08-10 00:00:00.000	1.02	6.97	5.88	22.43	0	0.224279835
11	5	2017-07-05 00:00:00.000	0.99	6.42	6.12	5.85	0	0.058479532
11	5	2017-07-14 00:00:00.000	1	6.59	6.11	9.39	0	0.093933464
11	5	2017-07-20 00:00:00.000	1	6.27	5.8	9.79	0	0.097916667
11	5	2017-08-10 00:00:00.000	1.05	6.16	5.31	19.95	0	0.199530516
