Plot	Sample	SampDate	NO3_mgkgdrysoil	NH4_mgkgdrysoil	minN_mgkgdrysoil	NPOC_mgkgdrysoil	DON_mgkgdrysoil	MBC_mgkgdrysoil	MBN_mgkgdrysoil
12	1	2017-07-14 00:00:00.000	0	2.420357231	2.420357231	273.4388496	12.21683825	12.89312134	11.83835087
12	1	2017-07-20 00:00:00.000	0	4.317172411	4.317172411	247.9617218	6.066857247	101.1253553	17.56983965
12	1	2017-08-10 00:00:00.000	0	2.153225452	2.153225452	174.0150209	8.592088499	250.6906206	49.09894484
12	2	2017-07-05 00:00:00.000	0	4.856436131	4.856436131	232.8417507	8.546004158	153.8024095	27.49364091
12	2	2017-07-14 00:00:00.000	0	3.620951171	3.620951171	216.3463262	8.646261609	230.7364044	42.10969915
12	2	2017-07-20 00:00:00.000	0	3.817319729	3.817319729	940.0851164	8.200157312	0	3.081948263
12	2	2017-08-10 00:00:00.000	0	1.889249329	1.889249329	153.2394347	6.132531052	321.2923074	55.84071125
12	3	2017-07-05 00:00:00.000	0	7.309195791	7.309195791	282.9589155	8.182261598	121.8654536	27.51958717
12	3	2017-07-14 00:00:00.000	0	3.071894142	3.071894142	307.8240244	8.375529896	26.28404961	29.40767629
12	3	2017-07-20 00:00:00.000	0	3.63755099	3.63755099	1285.716178	4.060077982	0	11.2736702
12	3	2017-08-10 00:00:00.000	0	17.68111734	17.68111734	211.6156543	2.315896528	105.0074835	15.18693771
12	4	2017-07-05 00:00:00.000	0	5.604225517	5.604225517	408.3175744	15.25810283	177.1802156	38.9345539
12	4	2017-07-14 00:00:00.000	0	2.358807753	2.358807753	357.8736055	13.11627346	30.74527084	16.50041121
12	4	2017-07-20 00:00:00.000	0	3.800397006	3.800397006	378.1771814	2.568685923	0	12.66512296
12	4	2017-08-10 00:00:00.000	0	1.217242752	1.217242752	110.7435711	4.34653128	262.6173099	40.00142274
12	5	2017-07-05 00:00:00.000	0	8.889332741	8.889332741	243.4146313	9.637836419	351.3225779	45.3889719
12	5	2017-07-14 00:00:00.000	0	1.83636061	1.83636061	117.8037316	7.43606203	343.0802573	39.56568117
12	5	2017-07-20 00:00:00.000	0	3.857455465	3.857455465	755.0306667	3.112844565	0	15.70017235
12	5	2017-08-10 00:00:00.000	0	0	0	144.1781427	6.289206988	188.7427995	37.71598518
