Trt	Plot	Sample	Substrate	Enzyme_nm_g_hr	SampDate	RunDay
1wk	2	1	PHOS	361.0839542	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	1	PHOS	63.15315827	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	AG	52.55323178	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	AG	10.96926209	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	AG	7.539419931	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	AG	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	BG	659.2120561	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	BG	499.4824042	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	BG	319.2899581	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	BG	280.9733632	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	BX	146.3997722	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	BX	50.07289326	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	BX	45.52032151	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	BX	38.31965	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	CBH	98.70131301	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	CBH	29.70402223	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	CBH	17.27251005	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	CBH	25.20975415	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	LAP	796.7853619	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	LAP	517.9283506	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	LAP	431.4069969	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	LAP	398.517859	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	NAG	93.8077297	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	NAG	22.12846801	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	NAG	27.42807678	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	NAG	1.122207604	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	PER1	9.75428498	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	PER1	11.82130337	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	PER1	0	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	PER1	4.251410743	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	PEROX	12.46944493	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	PEROX	12.87792113	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	PEROX	4.069332566	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	PEROX	10.85491185	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	PHENOX	2.715159953	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	PHENOX	1.056617764	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	PHENOX	6.484874164	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	PHENOX	6.603501105	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	2	PHOS	421.1522178	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	2	PHOS	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	2	PHOS	144.6804568	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	2	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	AG	34.70936827	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	AG	21.22233846	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	AG	7.749072466	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	AG	20.20412523	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	BG	324.0762042	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	BG	508.7928781	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	3	BG	340.0198384	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	3	BG	408.0554156	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	3	BX	53.67192284	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	3	BX	74.3092836	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
